Jarak(L),Total Dispersi (s),Total Daya(dBm)
754,5.005756686065868e-12,19.292
755,5.005756686065893e-12,18.990
756,5.0057566860659176e-12,18.688
757,5.005756686065943e-12,18.386
758,5.005756686065967e-12,18.084
759,5.005756686065992e-12,17.782
760,5.005756686066017e-12,17.480
761,5.005756686066042e-12,17.178
762,5.005756686066067e-12,16.876
763,5.005756686066092e-12,16.574
764,5.005756686066116e-12,16.272
765,5.005756686066141e-12,15.970
766,5.005756686066167e-12,15.668
767,5.0057566860661914e-12,15.366
768,5.005756686066217e-12,15.064
769,5.005756686066242e-12,14.762
770,5.005756686066267e-12,14.460
771,5.0057566860662924e-12,14.158
772,5.0057566860663175e-12,13.856
773,5.005756686066343e-12,13.554
774,5.005756686066368e-12,13.252
775,5.005756686066393e-12,12.950
776,5.005756686066419e-12,12.648
777,5.005756686066444e-12,12.346
778,5.00575668606647e-12,12.044
779,5.005756686066496e-12,11.742
780,5.005756686066521e-12,11.440
781,5.005756686066547e-12,11.138
782,5.005756686066572e-12,10.836
783,5.005756686066598e-12,10.534
784,5.005756686066624e-12,10.232
785,5.0057566860666495e-12,9.930
786,5.0057566860666745e-12,9.628
787,5.0057566860667e-12,9.326
788,5.005756686066726e-12,9.024
789,5.005756686066752e-12,8.722
790,5.005756686066778e-12,8.420
791,5.005756686066804e-12,8.118
792,5.0057566860668296e-12,7.816
793,5.0057566860668554e-12,7.514
794,5.005756686066881e-12,7.212
795,5.005756686066908e-12,6.910
796,5.005756686066934e-12,6.608
797,5.00575668606696e-12,6.306
798,5.0057566860669855e-12,6.004
799,5.005756686067012e-12,5.702
800,5.005756686067038e-12,5.400
801,5.005756686067065e-12,5.098
802,5.0057566860670905e-12,4.796
803,5.005756686067116e-12,4.494
804,5.005756686067143e-12,4.192
805,5.00575668606717e-12,3.890
806,5.0057566860671955e-12,3.588
